Date,Open,High,Low,Close,Volume
2019-07-04,241.97,243,240.81,242.82,25303020
2019-07-05,242.95,243.5,241.61,242.83,27841230
2019-07-08,242.22,243.3,240.68,243.3,28458070
2019-07-09,242.95,243.7,241.87,242.74,26334670
2019-07-10,243.11,245.5,242.01,243.76,41586230
2019-07-11,244.52,244.97,240.17,241.3,33101970
2019-07-12,241.29,241.5,236.37,237.02,47658170
2019-07-15,237.9,238.59,234.23,235.27,44987070
2019-07-16,234.65,235.3,232.25,234.75,36144200
2019-07-17,234.32,238.04,233.5,234.63,33512230
2019-07-18,233.81,236.4,233.5,234.78,22818540
2019-07-19,236.35,237.93,232.32,232.85,34586080
2019-07-22,232.93,233.98,228.57,230.35,37930900
2019-07-23,230.5,232.83,228.52,232.48,36306690
2019-07-24,233.72,234,229.9,230.65,27236550
2019-07-25,229.99,234.65,229.02,232.9,33004560
2019-07-26,232.5,233.99,230.25,230.55,25904020
2019-07-29,230.7,233.74,230.18,232.8,18366190
2019-07-30,233.14,236,231.13,236,34773990
2019-07-31,237.51,237.55,233.11,233.49,50356650
2019-08-01,232.15,232.46,228.5,229.5,56032690
2019-08-02,224.91,226.88,220.3,220.81,94010550
2019-08-05,219.78,224,219.45,222.24,49041610
2019-08-06,222.77,226.88,222.3,226.01,48720730
2019-08-07,225.89,227.6,221.9,222.25,49530250
2019-08-08,224.6,225.9,223.18,223.93,31144010
2019-08-09,224.06,224.36,220.67,220.67,31478890
2019-08-12,222.38,222.99,219.74,222.3,28695760
2019-08-13,221.31,225.75,220.07,223.18,46706040
2019-08-14,224.1,224.25,216.6,217.11,52004130
2019-08-15,218.5,218.94,212.88,214.59,68165210
2019-08-16,215.8,216.75,213.91,215.05,38353770
2019-08-19,217.04,218.2,214.06,217.4,37521900
2019-08-20,217.63,219.23,215.53,216,36984710
2019-08-21,216.96,219.5,215.8,218.62,42898300
2019-08-22,218.25,220.4,217.35,219.5,45670450
2019-08-23,220.21,223.1,217.86,219.5,54739920
2019-08-26,217.54,219.64,216.53,218.5,34995860
2019-08-27,218.88,219.05,215.61,217.89,51323830
2019-08-28,218.08,219.08,217.18,218.3,30139230
2019-08-29,218.47,221.5,218.05,221.5,35886460
2019-08-30,221.91,225.2,221.21,224.2,58155090
2019-09-02,224.05,227.84,223.41,226.68,38911370
2019-09-03,225.94,226.25,222.05,224,44465820
2019-09-04,225.3,227.5,224.69,227.1,41551160
2019-09-05,229.51,230.93,228.36,230.79,54585230
2019-09-06,231,231.2,228.36,229.02,37869960
2019-09-09,229.88,230.87,227.61,229,22721370
2019-09-10,228.6,235.23,227.1,233.3,60365220
2019-09-11,233.5,235.9,232.62,234.72,41834400
2019-09-12,234.9,235.42,232.81,234.57,38921290
2019-09-13,234.17,235,231.91,233,23097450
2019-09-16,234.98,235.53,233.2,235.32,39411110
2019-09-17,235.22,237.2,233.99,235.89,55730800
2019-09-18,235.71,236.45,234.45,235.3,25586000
2019-09-19,234.86,235.49,233.12,234.98,39418060
2019-09-20,234.98,235.5,230.72,232,40550620
2019-09-23,231.71,232.17,229.05,229.7,28163380
2019-09-24,229.95,231.99,227.11,227.5,43394690
2019-09-25,226.5,228.3,225.3,228.09,37893030
2019-09-26,228.23,230.9,227.71,229.09,32718120
2019-09-27,229.2,229.96,228.05,228.05,18019780
2019-09-30,228.57,229,226.05,227.71,30218260
2019-10-01,227.61,229.56,226.49,226.49,29831350
2019-10-02,226.05,226.63,223.03,223.5,42412900
2019-10-03,223.59,225.64,222.61,224.08,38355010
2019-10-04,224.9,226.06,221.87,222.76,32106750
2019-10-07,223.17,227.8,222.41,227.55,40102200
2019-10-08,227.75,228.18,225.15,226.03,30959840
2019-10-09,226.03,229,225.52,227.7,39702090
2019-10-10,227.7,228.94,225.62,228.5,31708420
2019-10-11,229.5,231.2,228.97,230.31,37412420
2019-10-14,230.29,230.67,227.82,228.4,34582240
2019-10-15,228.6,229.88,227,229.4,30721760
2019-10-16,229.1,231.2,229.1,231,39205260
2019-10-17,230.74,233.5,230.52,233.5,45971100
2019-10-18,233.21,236.03,232.8,235.55,42706040
2019-10-21,236.02,236.88,234.04,234.94,28395030
2019-10-22,235.02,239.77,235,239.77,40288490
2019-10-23,239.2,240.18,237.76,239.57,34578200
2019-10-24,239.63,242.78,239.06,242.78,40358060
2019-10-25,242.55,242.77,237.85,240,49759850
2019-10-28,240.51,242.33,235.25,237.03,39033330
2019-10-29,237.1,240.2,236,240.11,41488880
2019-10-30,239.69,242.2,237.85,239.51,43559920
2019-10-31,240.72,242,234.01,234.89,60238840
2019-11-01,235.35,236.74,232.8,236.4,39183190
2019-11-05,239.6,240.98,236.7,238.53,43257820
2019-11-06,238.42,239.02,236.52,239.02,33383900
2019-11-07,238.11,242.95,237.71,242.5,44637570
2019-11-08,241.42,241.68,238.7,240.17,30473030
2019-11-11,239.02,242.4,238.31,241.5,27111060
2019-11-12,241.8,243.74,239.5,239.87,35513320
2019-11-13,239.06,239.57,235.81,237.21,31373320
2019-11-14,237.62,239.13,236.82,237.5,34316400
2019-11-15,237.85,240.18,236.45,240,30652680
2019-11-18,240.59,241.23,236.36,237.45,32941310
2019-11-19,237.52,239.82,237.2,239.25,29128910
2019-11-20,238.6,240.2,237.1,237.78,28091490
2019-11-21,237.37,238,235.8,237.15,24612470
2019-11-22,236.58,240.19,236.53,238.13,33565030
2019-11-25,238.68,239.75,237.21,237.98,17536530
2019-11-26,238.01,238.1,234.35,235,58327470
2019-11-27,235.25,236.45,233.51,234.22,21871060
2019-11-28,234.1,235.5,233.1,235.2,18849720
2019-11-29,234.65,235.14,231.97,233.98,27230330
2019-12-02,234.59,236.37,233,233.77,28186930
2019-12-03,233.28,234.06,230.13,230.66,26676820
2019-12-04,230.72,232.24,229.5,231.59,24285490
2019-12-05,231.89,232.15,229.03,231.71,23157550
2019-12-06,232,235.14,231.55,235.14,33265080
2019-12-09,235.46,237.5,234.3,237.04,31683450
2019-12-10,236.6,239.29,236,237.91,36059810
2019-12-11,237.81,241.23,237.7,240.32,44152540
2019-12-12,242.01,242.3,240.09,241.05,36011490
2019-12-13,242.02,243.25,241.1,241.21,33100880
2019-12-16,242.02,242.48,240.13,241.45,25489190
2019-12-17,241.82,242.96,241,241.6,33821980
2019-12-18,241.21,246.25,240.36,246.2,55754300
2019-12-19,246.27,248.4,243.1,244,59872840
2019-12-20,244.6,245.4,243.72,244.71,32926290
2019-12-23,244.75,249.19,244.07,248.8,23950490
2019-12-24,248.8,249.89,247.27,248.67,21016800
2019-12-25,248.98,249.3,247.11,248.04,7910360
2019-12-26,248.2,249.24,246.71,248.24,12979620
2019-12-27,248.56,252.95,248.55,252.06,31907600
2019-12-30,252.09,256,250.73,254.75,43131930
